LINE,END_WORD
Let the suicide doors up,up
I threw suicides on the tour bus,bus
I threw suicides on the private jet,jet
"You know what that mean, I'm fly to death",death
I step in Def Jam buildin' like I'm the shit,shit
Tell 'em give me fifty million or I'ma quit,quit
Most rappers' taste level ain't at my waist level,level
Turn up the bass 'til it's up-in-yo-face level,level
Don't do no press but I get the most press kit,kit
"Plus, yo, my bitch make your bitch look like Precious",Precious
"Somethin' 'bout Mary, she gone off that molly",molly
Now the whole party is melted like Dalí,Dalí
Now everybody is movin' they body,body
"Don't sell me apartment, I'll move in the lobby",lobby
Niggas is loiterin' just to feel important,important
You gon' see lawyers and niggas in Jordans,Jordans
"She said, 'Ye, can we get married at the mall",mall
"I said, Look, you need to crawl 'fore you ball",ball
Come and meet me in the bathroom stall,stall
And show me why you deserve to have it all,all
"Ball so hard That shit cray, ain’t it Jay",Jay
"What she order, fish filet",filet
Your whip so cold – this old thing,thing
Act like you’ll ever be around mothafuckas like this again,again
"Bougie girl, grab my hand",hand
Fuck that bitch; she don’t wanna dance,dance
"Excuse my French, but I’m in France, I’m just sayin'",sayin
Prince Williams ain’t do it right if you ask me,me
‘Cause I was him I would have married Kate and Ashley,Ashley
"What’s Gucci, my nigga What’s Louis, my killa",killa
"What’s drugs, my dealer What’s that jacket, Margiela",Margiela
Doctors say I’m the illest,illest
‘Cause I’m suffering from realness,realness
"Got my niggas in Paris and they going gorillas, huh",huh
"Break records at Louis, ate breakfast at Gucci",Gucci
My girl a superstar all from a home movie,movie
Bow on our arrival - the un-American idols,idols
"What niggas did in Paris, got 'em hanging off the Eiffel",Eiffel
"Yeah I'm talking business, we talking CIA",CIA
"I'm talking George Tenet, I seen him the other day",day
"He asked me about my Maybach, think he had the same",same
Except mine tinted and his might have been rented,rented
"You know white people get money, don't spend it",it
"Or maybe they get money, buy a business",business
I rather buy 80 gold chains and go ign'ant,ignant
"I know Spike Lee gon' kill me, but let me finish",finish
"Blame it on the pigment, we living no limits",limits
Them gold Master P ceilings was just a figment,figment
"Of our imagination, MTV cribs",cribs
Now I'm looking at a crib right next to where TC lives,lives
"That's Tom Cruise, whatever she accuse",accuse
He wasn't really drunk he just had a frew brews,brews
"Pass the refreshments, a cool, cool beverage",beverage
Everything I do need a news crew's presence,presence
"Speedboat swerve, homie watch out for the waves",waves
I'm way too black to burn from sun rays,rays
So I just meditate at the home in Pompeii,Pompeii
About how I could build a new Rome in one day,day
Everytime I'm in Vegas they screaming like he's Elvis,Elvis
But I just wanna design hotels and nail it,it
"Shit is real, got me feeling Israelian",Israelian
"Like Bar Refaeli, or Gisele - no, that's Brazilian",Brazilian
"Went through, deep depression when my momma passed",passed
"Suicide, what kinda talk is that",that
But I been talking to God for so long,long
That if you look at my life I guess he's talking back,back
Fucking with my clique,clique
What you doin' in the club on a Thursday,Thursday
She say she only here for her girl birthday,birthday
They ordered champagne but still look thirsty,thirsty
Rock Forever 21 but just turned thirty,thirty
I know I got a bad reputation,reputation
Walking-round-always-mad reputation,reputation
Leave-a-pretty-girl-sad reputation,reputation
"Start a Fight Club, Brad reputation",reputation
I turnt the nightclub out of the basement,basement
"I'll turn the plane 'round, your ass keep complainin'",complainin
How you gon' be mad on vacation,vacation
Dutty wining 'round all these Jamaicans,Jamaicans
"Uh, this that prom shit",shit
This that what-we-do-don't-tell-your-mom shit,shit
This that red-cup-all-on-the-lawn shit,shit
"Got a fresh cut, straight out the salon, bitch",bitch
I wanna fuck you hard on the sink,sink
"After that, give you somethin' to drink",drink
"Step back, can't get spunk on the mink",mink
"I mean damn, what would Jeromey Romey Romey Rome think",think
"Hey, you remember where we first met",met
"Okay, I don't remember where we first met",met
"But hey, admittin' is the first step",step
"And hey, you know ain't nobody perfect",perfect
"And I know, with the hoes I got the worst rep",rep
"But hey, their backstroke I'm tryna perfect",perfect
"And hey, ayo, we made it: Thanksgivin'",Thanksgivin
"So hey, maybe we can make it to Christmas",Christmas
She asked me what I wished for on my wishlist,wishlist
Have you ever asked your bitch for other bitches,bitches
Maybe we could still make it to the church steps,steps
"But first, you gon' remember how to forget",forget
After all these long-ass verses,verses
"I'm tired, you tired, Jesus wept",wept
Coke on her black skin made it stripe like a zebra,zebra
I call that jungle fever,fever
You will not control the threesome,threesome
Just roll the weed up until I get me some,some
We formed a new religion,religion
No sins as long as there’s permission,permission
And deception is the only felony,felony
So never fuck nobody without telling me,me
Sunglasses and Advil,Advil
Last night was mad real,real
"Sun coming up, 5 am",am
I wonder if they got cabs still,still
Thinking 'bout the girl in all leopard,leopard
Who was rubbing the wood like Kiki Shepard,Shepard
Two tattoos: one read No Apologies,Apologies
The other said Love is Cursed by Monogamy,Monogamy
It’s something that the pastor don’t preach,preach
It’s something that a teacher can’t teach,teach
"When we die, the money we can’t keep",keep
But we probably spend it all cause the pain ain’t cheap,cheap
Now if I fuck this model,model
And she just bleached her asshole,asshole
And I get bleach on my T-shirt,T-shirt
I'mma feel like an asshole,asshole
I was high when I met her,her
We was down in Tribeca,Tribeca
She get under your skin if you let her,her
She get under your skin if you-uh,you-uh
I don't even want to talk about it,it
I don't even want to say nothing,nothing
Everybody gon' say something,something
I'd be worried if they said nothing,nothing
Remind me where I know you from,from
She looking like she owe you some,some
You know just what we want,want
I want to wake up with you in my beautiful morning,morning
My momma was raised in the era when,when
Clean water was only served to the fairer skin,skin
Doin' clothes you would have thought I had help,help
But they wasn't satisfied unless I picked the cotton myself,myself
You see it's broke nigga racism,racism
That's that Don't touch anything in the store,store
And it's rich nigga racism,racism
"That's that Come in, please buy more",more
"What you want, a Bentley Fur coat A diamond chain
All you blacks want all the same things",things
"Used to only be niggas, now everybody playin'",playin
Spendin' everything on Alexander Wang,Wang
New Slaves,Slaves
I throw these Maybach keys,keys
I wear my heart on the sleeve,sleeve
I know that we the new slaves,slaves
I see the blood on the leaves,leaves
They throwin' hate at me,me
Want me to stay at ease,ease
Fuck you and your corporation,corporation
Y'all niggas can't control me,me
I'm 'bout to wild the fuck out,out
I'm goin' Bobby Boucher,Boucher
I know that pussy ain't free,free
