LINE,END_WORD
"Time after time, you been coppin' mine",mine
"Like, ""Can I have a good time at yours tonight?""",tonight
'Cause everytime we try to get close,close
There is always something that I'm thinking about,about
You want me be somebody who I'm really not,not
"A knock at the door, and then we hit the floor",floor
And all I know is that you leave me wanting more,more
"I don't let it show, but I think you know",know
'Cause you're tweeting me like Tweety Bird on your iPhone,iphone
(You want me),me
"XXXO, XXXO",xxxo
"Upload a photo, see below",below
"If you like what you see, you can download and store",store
We can find ways to expand what you know,know
"I can be that actress, you be Tarantino",tarantino
You want me be,be
You want me,me
"I fly like paper, get high like planes",planes
If you catch me at the border I got visas in my name,name
"If you come around here, I make 'em all day",day
I get one done in a second if you wait,wait
Sometimes I think sittin' on trains,trains
Every stop I get to I'm clocking that game,game
"Everyone's a winner, we're making our fame",fame
Bona fide hustler making my name,name
All I wanna do is bang bang bang bang,bang
And click ka-ching,ka ching
And take your money,money
Pirate skulls and bones,bones
Sticks and stones and weed and bongs,bongs
Running when we hit 'em,em
Lethal poison for the system,system
No one on the corner has swagger like us,us
Hit me on my burner prepaid wireless,wireless
We pack and deliver like UPS trucks,trucks
"Already going to hell, just pumping that gas",gas
Third world democracy,democracy
"Yeah, I've got more records than the K.G.B",kgb
"So, uh, no funny business",business
Some some some I some I murder,murder
Some I some I let go,go
"Live fast, die young",young
Bad girls do it well,well
My chain hits my chest,chest
When I'm banging on the dashboard,dashboard
When I'm banging on the radio,radio
"Get back, get down",down
Pull me closer if you think you can hang,hang
"Hands up, hands tied",tied
Don't go screaming if I blow you with a bang,bang
Suki Suki,suki
I'm coming in the Cherokee gasoline,gasoline
There's steam on the window screen,screen
"Take it, take it",it
Wheels bouncing like a trampoline,trampoline
"When I get to where I'm going, gonna have you trembling",trembling
"Yeah back it, back it",it
Yeah pull up to the bumper game,game
Read the signal,signal
"Cover me, cause I'm changing lanes",lanes
Had a handle on it,it
"My life, I broke it",it
"When I get to where I'm going, gonna have you saying it",it
"Hands up, hands high",high
"Going up to bitch I""ll see it for a million",million
Accelerating fast I could do this in a second,second
Looking in the rear view swagger going swell,swell
Leaving boys behind cause it's legal just to kill,kill
Shift gear automatic damned if I do,do
Who's gonna stop me when I'm coming through,through
What we got left is just me and you,you
But if I go to bed baby can I take you?,you
When I'm banging...,banging
"Freedom, 'I'dom, 'Me'dom",medom
Where's your 'We'dom?,wedom
This world needs a brand new 'Re'dom,redom
We'dom - the key,key
We'dom the key'dom to life!,life
Let's be 'dem,dem
We'dom smart phones,phones
Don't be dumb!,dumb
Borders (What's up with that?),that
Politics (What's up with that?),that
Police shots (What's up with that?),that
Identities (What's up with that?),that
Your privilege (What's up with that?),that
Broke people (What's up with that?),that
Boat people (What's up with that?),that
The realness (What's up with that?),that
The new world (What's up with that?),that
Am gonna keep up on all that,that
Guns blow doors to the system,system
Yeah fuck 'em when we say we're not with them,them
We're solid and we don't need to kick them,them
"This is North, South, East and Western",western
Queen (What's up with that?),that
Killing it (What's up with that?),that
Slaying it (What's up with that?),that
Your goals (What's up with that?),that
Being bae (What's up with that?),that
Making money (What's up with that?),that
Breaking internet (What's up with that?),that
Love wins (What's up with that?),that
Living it (What's up with that?),that
Being real (What's up with that?),that
"We representing peeps, they don't play us on the FM",fm
"We talkin' in our sleep, they still listen on a system",system
We sittin' on a stoop,stoop
Where we get a scoop,scoop
This is how we keep it cool,cool
This is how we do,do
Egos (What's up with that?),that
Your values (What's up with that?),that
Your beliefs (What's up with that?),that
Your families (What's up with that?),that
Histories (What's up with that?),that
Your future (What's up with that?),that
My boys (What's up with that?),that
My girls (What's up with that?),that
Freedom (What's up with that?),that
Your power (What's up with that?),that
Gonna keep up on all that,that
Gonna be doing it like that,that
"Yeah, man made powers",powers
"Stood like a tower, higher and higher, hello",hello
"And the higher you go, you feel lower, oh",oh
I was close to the end,end
"Staying undercover, staying undercover",undercover
"With a nose to the ground, I found my sound",sound
Got myself an interview tomorrow,tomorrow
I got myself a jacket for a dollar,dollar
And my nails are chipped but I'm eager,eager
"And the car doesn't work, so I'm stuck here",here
"Yeah, I don't wanna live for tomorrow, I push my life today",today
"I throw this in your face when I see ya, I got something to say",say
I throw this shit in your face when I see ya 'cause I got something to say,say
"I was born free, born free",free
"Born free, born free",free
You could try to find ways to be happier,happier
You might end up somewhere in Ethiopia,ethiopia
You can think big with your idea,idea
You ain't never gonna find Utopia,utopia
"Take a bite out of life, make it snappier, yeah",yeah
Ordinary gone super trippier,trippier
So I check shit 'cause I'm lippier,lippier
And split a Czech like Slovakia,slovakia
I throw this in your face when I see you 'cause I got something to say,say
I throw this shit in your face when I see you,you
'Cause I got something to say,say
I don't wanna talk about money 'cause I got it,it
And I don't wanna talk about hoochies 'cause I been it,it
And I don't wanna be that fake but you can do it,it
"And imitators, yeah, speak it",it
"Oh lord, whoever you are",are
"Yeah, come out wherever you are",are
And tell 'em,em
Check my coat in and I paid the dollar,dollar
"Sidekick rings, ""What's up?"", holla",holla
"Text the address, I'll see you later",later
"Baby, come down",down
"Come down, come down, come down",down
"Run down, run down, run down",down
"Run, make a run, make a run, make a run",run
"Make a run, make a run, make a run down",down
Dun da da dun da da dun da da dun dun,dun
Beat goes on,on
A dun da da dun da da dun da da dun dun,dun
In a faraway land we got shit made,made
"Ray-Ban shades, warheads laid",laid
Babies born in air raids,raids
My girls run the Everglades,everglades
Indian tribesmen gamble spades,spades
"Indian chicks, they get men laid",laid
"Milk and honey, smoke high-grade",high grade
"Golds and diamond, gems and jade",jade
"Ride up on our tanks, invade",invade
Blow up things to save our name,name
"Mina, Rina, Tina, Sabrina",sabrina
Being a super Indian babe,babe
"We black market, we black made",made
We hit shit out when it rains,rains
Would you come down and catch my train?,train
Would you run down and play this game?,game
"Hey, hey, baby girl, you and me",me
Need to go to your teepee,teepee
The moon is full and I'm shinin',shinin
