LINE,END_WORD
"Pussy got that wet, wet, got that drip, drip",drip
"Got that super soaker, hit that, she a Fefe",fefe
"Her name Keke, she eat my dick like it's free, free",free
"I don't even know like ""Why I did that?""",that
"I don't even know like ""Why I hit that?""",that
All I know is that I just can't wife that,that
Talk to her nice so she won't fight back,back
"Turn around and hit it from the back, back, back",back
"Bend her down then I make it clap, clap, clap",clap
I don't really want no friends,friends
"I don't really want no friends, no",no
"Draco got that kick-back, when I blow that, they all do track",track
"They don't shoot back, one shot, close range, red dot",dot
"Head tight, yeah, I did that, yeah, I live that",that
"Call a Uber with my shooter, with a Ruger, we gon' do ya",ya
"Niggas say they killin' people, but I really fuckin' do it",it
"He-He tryna 69 like Tekashi, call him papi",papi
"Word to A$AP, keep me Rocky",rocky
"I'm from New York, so I'm cocky, say he fuckin' with my posse",posse
"Copped me Khloé like Kardashi', keep this pussy in Versace",versace
Said I'm pretty like Tinashe,tinashe
"Put it all up in his face, did I catch a case?",case
"Pussy game just caught a body, but I never leave a trace",trace
"Face is pretty, ass for days, I get chips, I ask for Lay's",lays
"I just sit back and when he done, I be like, ""Yo, how'd it taste?""",taste
"(Yo, how'd it taste?!)",taste
"Ayo, Draco got that kick-back",kick-back
"When it kick-back, you can't get yo shit back, in fact this that bitch",bitch
"That ""I hate small talk, I don't fuck with chit-chat""",chit-chat
"AC just stopped workin', so they hit me",me
"Told me bring my wrist back, come through rockin' fashions",fashions
"That got all these bitches like ""Yo, what's that?""",that
"Eeny, meeny, miny, moe, I catch a hoe right by her toe",toe
"If she ain't fuckin' me and Nicki, kick that ho right through the door",door
"I don't really want no friends, my old ho just bought this Benz",benz
"Nicki just hopped in this shit, now I won't see that bitch again",again
"Eeny, meeny, miny, moe (no)",no
I catch a ho right by her toe (no),no
If she ain't fuckin' me and Nicki (no),no
"Kick that ho right through the door (no, TR3YWAY)",way
"Mmm, Young Money, Young Money bunny",bunny
"Colorful hair, don't care",care
"I don't really want no friends, I don't really want no friends, no",no
Scum Gang!,gang
"Ayo, look like I'm goin' for a swim",swim
"Dunk on 'em, now I'm swingin' off the rim",rim
Bitch ain't comin' off the bench,bench
While I'm comin' off the court fully drenched,drenched
"Here, get some haterade, get ya thirst quenched",quenched
Styled on 'em in this Burberry trench,trench
"These birds copy every word, every inch",inch
But gang gang got the hammer and the wrench (brrr),brrr
I pull up in that quarter milli off the lot,lot
"Oh, now she tryna be friends like I forgot",forgot
Show off my diamonds like I'm signed by the Roc (by the rock),rock
Ain't pushin' out his babies 'til he buy the rock,rock
"Ayo, I been on, bitch, you been corn",corn
"Bentley tints on, Fendi prints on",on
"I mean I been Storm, X-Men been formed",formed
He keep on dialin' Nicki like the Prince song,song
"I-I-I been on, bitch, you been corn",corn
"Ayo, I been north, Lara been Croft",croft
"Plates say Chun-Li, drop the Benz off",off
"Oh, I get it, huh, they paintin' me out to be the bad guy",guy
Well it's the last time you gonna see a bad guy do the rap game like me,me
"I went and copped the chopsticks, put it in my bun just to pop shit",shit
