LINE,END_WORD
"You probably think that you are better now, better now",now
"You only say that 'cause I'm not around, not around",around
"You know I never meant to let you down, let you down",down
"Woulda gave you anything, woulda gave you everything",everything
"You know I say that I am better now, better now",now
"I only say that 'cause you're not around, not around",around
"I did not believe that it would end, no",no
Everything came second to the Benzo,benzo
"You're not even speakin' to my friends, no",no
You knew all my uncles and my aunts though,though
"Twenty candles, blow 'em out and open your eyes",eyes
We were lookin' forward to the rest of our lives,lives
Used to keep my picture posted by your bedside,bedside
Now it's in your dresser with the socks you don't like,like
"And I'm rollin', rollin', rollin', rollin'",rolling
"With my brothers like it's Jonas, Jonas",jonas
Drinkin' Henny and I'm tryna forget,forget
But I can't get this shit outta my head,head
I seen you with your other dude,dude
He seemed like he was pretty cool,cool
I was so broken over you,you
"Life it goes on, what can you do?",do
I just wonder what it’s gonna take,take
Another foreign or a bigger chain (bigger chain),chain
Because no matter how my life has changed,changed
I keep on looking back on better days,days
I promise,promise
"I swear to you, I'll be okay",okay
You're only the love of my life (love of my life),life
Baby could you? I got too much on my mind right now,now
I ain't got the time to get you Saint Laurent down,down
Could you? I got too much on my mind right now,now
"Time to hit Rodeo, give my baby 30 thou'",thou
Ball for me,me
"B-ball for me, yeah",yeah
"I'm on the road, I'm gettin' paid, like what you want, baby? (What you want, baby?)",baby
"You're bougie, baby, but I love you, baby, give you the world, baby (you the world, baby)",baby
"Paid five grand for a handbag, that's Saint Laurent (Saint Laurent, baby)",baby
"Damn, you love that money, baby (oh-oh-oh)",oh
"Hunnid thousand plus hunnid thousand, my whip (my whip, my whip)",whip
"30 thousand plus 30 thousand, my wrist (my wrist, my wrist)",wrist
"We got alcohol plus bad bitches, that's lit (that's lit, that's lit)",lit
"I swear baby, we was just kissin', that's it (that's it, that's it)",it
How could I forget the shit that you done done for me? (For me),me
Baby gonna take the charge and take the fall for me (for me),me
"Would love to take you shoppin', but girl, I'll be on tour",tour
"Sorry, lil' mama, I can't give you more",more
"Yo, gotta hit him on the jack",jack
When you comin' back? Where is you at on the map?,map
Everything is intact,intact
"Could have been a seamstress, still wouldn't cut him slack",slack
"Pretty much, ain't got a clue",clue
Itty bitty piggyback off everything I do,do
But I'm still droppin' jaws,jaws
Got 'em lookin' like James Harden at the awards,awards
"Back to you, I'm so into you",you
"For real, bread like I'm kin to you",you
"If you a 10, I add 10 to you",you
They be mad when I tend to you,you
That's what the bae like,like
Call me Buffy 'cause that's what I slay like,like
